control_time_s,ros_time_s,mode,flight_phase,state_valid,derivatives_valid,state_age_s,battery_voltage_v,battery_voltage_mv,battery_state,battery_level_percent,battery_age_s,preflight_voltage_v,preflight_voltage_sample_count,preflight_voltage_ready,preflight_voltage_failed,thrust_raw_scale,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,body_rate_x,body_rate_y,body_rate_z,roll_rad,pitch_rad,yaw_rad,target_x,target_y,target_z,target_yaw_rad,target_jerk_x,target_jerk_y,target_jerk_z,position_error_x,position_error_y,position_error_z,velocity_error_x,velocity_error_y,velocity_error_z,desired_force_x,desired_force_y,desired_force_z,desired_roll_rad,desired_pitch_rad,desired_yaw_rad,attitude_error_x,attitude_error_y,attitude_error_z,computed_rate_x,computed_rate_y,computed_rate_z,omega_c_method,command_rate_x,command_rate_y,command_rate_z,command_thrust_newton,filtered_velocity_x,filtered_velocity_y,filtered_velocity_z,filtered_acceleration_x,filtered_acceleration_y,filtered_acceleration_z,filter_derivatives_valid,mocap_sample_age_s
0.01318023200292373,1788363027.6064603,control,preflight_voltage,1,1,0.002967974003695417,4.18064546585083,4180.0,0,90.0,0.0007324489997699857,nan,0,0,0,1.0,0.007921431213617325,0.07607947289943695,0.04333146661520004,-0.00040061704930849373,6.339821266010404e-05,0.0018593204440549016,-0.2212262898683548,-0.25693148374557495,0.3010061979293823,0.0028470084071159363,-0.07442161440849304,0.01900341734290123,-0.017971650693576154,-0.010551693228273432,0.08657504980812512,0.007921431213617325,0.07607947289943695,0.04333146661520004,0.08657504980812512,0.0,0.0,0.0,0.0,0.0,0.0,-0.00040061704930849373,6.339821266010404e-05,0.0018593204440549016,0.0,0.0,0.0,-0.017971650693576154,-0.010551693228273432,0.08657504980812512,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.00040061704930849373,6.339821266010404e-05,0.0018593204440549016,0.0,0.0,0.0,0,0.004172563552856445
0.024236967001343146,1788363027.6166625,control,preflight_voltage,1,1,0.0022436869985540397,4.18064546585083,4180.0,0,90.0,0.0004133680049562827,nan,1,0,0,1.0,0.007884638383984566,0.07603993266820908,0.04332149401307106,-0.0009451523656025529,-0.000620584818534553,0.0013181442627683282,-0.1862260103225708,-0.21715766191482544,0.2316170185804367,-0.006054897792637348,-0.05475471168756485,0.012270097620785236,-0.01846058906655694,-0.010273188643999915,0.08639721343973993,0.007884638383984566,0.07603993266820908,0.04332149401307106,0.08639721343973993,0.0,0.0,0.0,0.0,0.0,0.0,-0.00042707810882918926,3.016085383687245e-05,0.001833022617787792,0.0,0.0,0.0,-0.01846058906655694,-0.010273188643999915,0.08639721343973993,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.00042707810882918926,3.016085383687245e-05,0.001833022617787792,-0.002246492749410804,-0.0028217874476098195,-0.002232634562048478,1,0.0025959014892578125
0.03547889600304188,1788363027.6279483,control,preflight_voltage,1,1,0.002781959999992978,4.18064546585083,4180.0,0,90.0,0.00039026400190778077,nan,2,0,0,1.0,0.007890639826655388,0.07606593519449234,0.04330999031662941,-0.000639999401755631,6.657384801656008e-06,0.0008319293847307563,-0.14307637512683868,-0.16158956289291382,0.17588579654693604,-0.01065000519156456,-0.03555130958557129,0.010740156285464764,-0.01876105911476848,-0.009845870087578396,0.08643702689856711,0.007890639826655388,0.07606593519449234,0.04330999031662941,0.08643702689856711,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004883795639230147,-3.7385519960217876e-05,0.0017415045559251165,0.0,0.0,0.0,-0.01876105911476848,-0.009845870087578396,0.08643702689856711,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.0004883795639230147,-3.7385519960217876e-05,0.0017415045559251165,-0.005930639348292021,-0.006534807072072499,-0.008853959794779421,1,0.0035452842712402344
0.04657065700303065,1788363027.6389992,control,preflight_voltage,1,1,0.0010112580057466403,4.18064546585083,4180.0,0,90.0,0.0005911219996050932,nan,3,0,0,1.0,0.007890955545008183,0.07602287828922272,0.04329706355929375,-0.0005071723717264831,-0.0006529913516715169,0.0004679003031924367,-0.11243024468421936,-0.139357328414917,0.13514283299446106,-0.006491769105195999,-0.043061263859272,0.0043640402145683765,-0.018625733122720468,-0.010807101051999233,0.0861783937897569,0.007890955545008183,0.07602287828922272,0.04329706355929375,0.0861783937897569,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005608869384598046,-0.00013196108670034072,0.001496457244147156,0.0,0.0,0.0,-0.018625733122720468,-0.010807101051999233,0.0861783937897569,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.0005608869384598046,-0.00013196108670034072,0.001496457244147156,-0.005543023257981519,-0.007230086172976656,-0.018733307572761274,1,0.0015153884887695312
0.0577031220018398,1788363027.6501355,control,preflight_voltage,1,1,0.0062069519990473054,4.18064546585083,4180.0,0,90.0,0.011723586998414248,nan,3,0,0,1.0,0.007904386147856712,0.07601414620876312,0.04332652688026428,3.684122930280864e-05,-0.0008101416751742363,0.0013452260755002499,-0.07201729714870453,-0.11666443943977356,0.13702480494976044,-0.0022740690037608147,-0.023498546332120895,0.008925801143050194,-0.0185388314615092,-0.010471788889527418,0.08633711585221589,0.007904386147856712,0.07601414620876312,0.04332652688026428,0.08633711585221589,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006012547674789379,-0.00022040737855656537,0.0012855757552680434,0.0,0.0,0.0,-0.0185388314615092,-0.010471788889527418,0.08633711585221589,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.0006012547674789379,-0.00022040737855656537,0.0012855757552680434,-0.006651278548329155,-0.014573013659558865,-0.03474627091183286,1,0.006582498550415039
0.06881670800066786,1788363027.661262,control,preflight_voltage,1,1,0.008545078002498485,4.18064546585083,4180.0,0,90.0,0.010837795998668298,nan,4,0,0,1.0,0.007926031947135925,0.07607044279575348,0.04336589574813843,0.0005174271063879132,0.0006209620623849332,0.001963660353794694,-0.04678014665842056,-0.06107064709067345,0.12356100976467133,0.00993476714938879,-0.010523897595703602,0.016396528109908104,-0.01802157218192655,-0.010097266792907377,0.08674094804194131,0.007926031947135925,0.07607044279575348,0.04336589574813843,0.08674094804194131,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005507891059192099,-0.0002941862987255017,0.0011634905787368107,0.0,0.0,0.0,-0.01802157218192655,-0.010097266792907377,0.08674094804194131,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.0005507891059192099,-0.0002941862987255017,0.0011634905787368107,0.005688173872476977,-0.008315898634318237,-0.01376067785299514,1,0.008836984634399414
0.07990846299799159,1788363027.672338,control,preflight_voltage,1,1,0.004922537998936605,4.18064546585083,4180.0,0,90.0,0.010618300999340136,nan,5,0,0,1.0,0.007899810560047626,0.07602974027395248,0.0433025136590004,5.6925928220152855e-05,-5.741312634199858e-05,0.0007079531205818057,-0.04369404539465904,-0.05809289589524269,0.08175180107355118,-0.0006223656237125397,0.0009979326277971268,0.005894079338759184,-0.018645718614094295,-0.009415464104822344,0.08619782689023726,0.007899810560047626,0.07602974027395248,0.0433025136590004,0.08619782689023726,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002949502474175062,-0.0002142607498065463,0.0012080843178290904,0.0,0.0,0.0,-0.018645718614094295,-0.009415464104822344,0.08619782689023726,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.0002949502474175062,-0.0002142607498065463,0.0012080843178290904,0.01741594357725728,0.005440842171145685,0.0030356688130896386,1,0.00522303581237793
0.09102423599688336,1788363027.6834767,control,preflight_voltage,1,1,0.010665493995475117,4.18064546585083,4180.0,0,90.0,0.009989022997615393,nan,6,0,0,1.0,0.007878667674958706,0.07606662809848785,0.04337238520383835,-0.0007382437470369041,0.0013215321814641356,0.00315655954182148,-0.06443284451961517,0.004644349217414856,0.15617334842681885,0.01523151807487011,-0.04134317860007286,0.0029702363535761833,-0.018221151502235924,-0.010552921737364676,0.08617171319776575,0.007878667674958706,0.07606662809848785,0.04337238520383835,0.08617171319776575,0.0,0.0,0.0,0.0,0.0,0.0,-9.914646349017548e-05,-0.00012486995797855217,0.0012604319199257267,0.0,0.0,0.0,-0.018221151502235924,-0.010552921737364676,0.08617171319776575,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-9.914646349017548e-05,-0.00012486995797855217,0.0012604319199257267,0.03629720649436661,0.016570854580010744,0.00970395813950014,1,0.010967254638671875
0.10213530500186607,1788363027.694575,control,preflight_voltage,1,1,0.0010135379998246208,4.18064546585083,4180.0,0,90.0,0.009369329003675375,nan,7,0,0,1.0,0.007895992137491703,0.07603814452886581,0.04327242076396942,-0.001133258338086307,-0.0002553233061917126,0.0002912107156589627,-0.07858738303184509,-0.05148112028837204,0.033516667783260345,-0.018015237525105476,-0.04111102595925331,0.027000777423381805,-0.018907719386496408,-0.009901291510354893,0.08687349661998166,0.007895992137491703,0.07603814452886581,0.04327242076396942,0.08687349661998166,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012359922799914412,0.0005150979086603195,0.0017745244508835516,0.0,0.0,0.0,-0.018907719386496408,-0.009901291510354893,0.08687349661998166,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.00012359922799914412,0.0005150979086603195,0.0017745244508835516,-0.0038199056634516003,0.05636290203489128,0.04349515791040768,1,0.0014493465423583984
0.11325976099760737,1788363027.7057228,control,preflight_voltage,1,1,0.012137993995565921,4.18064546585083,4180.0,0,90.0,0.009174118997179903,nan,8,0,0,1.0,0.007895992137491703,0.07603814452886581,0.04327242076396942,-0.001133258338086307,-0.0002553233061917126,0.0002912107156589627,-0.07858738303184509,-0.05148112028837204,0.033516667783260345,-0.018015237525105476,-0.04111102595925331,0.027000777423381805,-0.018907719386496408,-0.009901291510354893,0.08687349661998166,0.007895992137491703,0.07603814452886581,0.04327242076396942,0.08687349661998166,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012359922799914412,0.0005150979086603195,0.0017745244508835516,0.0,0.0,0.0,-0.018907719386496408,-0.009901291510354893,0.08687349661998166,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.00012359922799914412,0.0005150979086603195,0.0017745244508835516,-0.0038199056634516003,0.05636290203489128,0.04349515791040768,1,0.012597084045410156
