control_time_s,ros_time_s,mode,flight_phase,state_valid,derivatives_valid,state_age_s,battery_voltage_v,battery_voltage_mv,battery_state,battery_level_percent,battery_age_s,preflight_voltage_v,preflight_voltage_sample_count,preflight_voltage_ready,preflight_voltage_failed,thrust_raw_scale,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,body_rate_x,body_rate_y,body_rate_z,roll_rad,pitch_rad,yaw_rad,target_x,target_y,target_z,target_yaw_rad,target_jerk_x,target_jerk_y,target_jerk_z,position_error_x,position_error_y,position_error_z,velocity_error_x,velocity_error_y,velocity_error_z,desired_force_x,desired_force_y,desired_force_z,desired_roll_rad,desired_pitch_rad,desired_yaw_rad,attitude_error_x,attitude_error_y,attitude_error_z,computed_rate_x,computed_rate_y,computed_rate_z,omega_c_method,command_rate_x,command_rate_y,command_rate_z,command_thrust_newton,filtered_velocity_x,filtered_velocity_y,filtered_velocity_z,filtered_acceleration_x,filtered_acceleration_y,filtered_acceleration_z,filter_derivatives_valid,mocap_sample_age_s,ekf_position_x,ekf_position_y,ekf_position_z,ekf_velocity_x,ekf_velocity_y,ekf_velocity_z,ekf_acceleration_x,ekf_acceleration_y,ekf_acceleration_z,ekf_state_valid,ekf_state_age_s,ekf_kinematics_weight_effective,control_velocity_x,control_velocity_y,control_velocity_z,mixed_acceleration_x,mixed_acceleration_y,mixed_acceleration_z,control_acceleration_x,control_acceleration_y,control_acceleration_z
0.014717238002049271,1788536392.7910614,control,waiting_for_state,0,0,inf,4.138416290283203,4138.0,0,90.0,0.006330419004370924,nan,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,inf,,,,,,,,,,,,,,,,,,,,,
0.12593956199998502,1788536392.901583,control,pre_takeoff_hold,1,1,0.08422115100256633,4.138416290283203,4138.0,0,90.0,0.11755274300230667,4.138416290283203,1,1,0,1.0148809847528855,0.0702025294303894,0.02845356985926628,0.04134606570005417,-0.0015055150724947453,-0.0022710254415869713,-0.0003738943487405777,-0.20037157833576202,-0.34379273653030396,-0.12850448489189148,0.0236405860632658,-0.03093830868601799,-0.01026927400380373,-0.000430219660112015,0.005467330666484117,0.12183010971099649,0.0702025294303894,0.02845356985926628,0.04134606570005417,0.12183010971099649,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015055150724947453,-0.0022710254415869713,-0.0003738943487405777,0.0,0.0,0.0,-0.000430219660112015,0.005467330666484117,0.12183010971099649,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.0015055150724947453,-0.0022710254415869713,-0.0003738943487405777,0.0,0.0,0.0,0,0.08491921424865723,0.07008069008588791,0.02806026302278042,0.04096969589591026,0.005786427979816897,0.004334286558769581,-0.0020102579013634397,-0.012621771411437782,-0.0028143350383926747,-0.011918620974249079,1,0.005772222997620702,0.0,-0.0015055150724947453,-0.0022710254415869713,-0.0003738943487405777,0.0,0.0,0.0,0.0,0.0,0.0
0.2369004349966417,1788536393.0125158,control,pre_takeoff_hold,1,1,0.19518202399922302,4.138416290283203,4138.0,0,90.0,0.22851361599896336,4.138416290283203,1,1,0,1.0148809847528855,0.0702025294303894,0.02845356985926628,0.04134606570005417,-0.0015055150724947453,-0.0022710254415869713,-0.0003738943487405777,-0.20037157833576202,-0.34379273653030396,-0.12850448489189148,0.0236405860632658,-0.03093830868601799,-0.01026927400380373,-0.000430219660112015,0.005467330666484117,0.12183010971099649,0.0702025294303894,0.02845356985926628,0.04134606570005417,0.12183010971099649,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015055150724947453,-0.0022710254415869713,-0.0003738943487405777,0.0,0.0,0.0,-0.000430219660112015,0.005467330666484117,0.12183010971099649,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.0015055150724947453,-0.0022710254415869713,-0.0003738943487405777,0.0,0.0,0.0,0,0.19585204124450684,0.0700792446732521,0.02806437760591507,0.040969785302877426,0.005601013928950871,0.00455104794255721,-0.0021562210659872294,0.0006313506504123583,0.00590971583683274,-0.0019388285033567075,1,0.0010965389956254512,0.0,-0.0015055150724947453,-0.0022710254415869713,-0.0003738943487405777,0.0,0.0,0.0,0.0,0.0,0.0
0.3480314350017579,1788536393.123796,control,pre_takeoff_hold,1,1,0.005709060998924542,4.138416290283203,4138.0,0,90.0,0.3396446160040796,4.138416290283203,1,1,0,1.0148809847528855,0.07023707777261734,0.028407249599695206,0.04130997508764267,0.003812467446550727,-0.007011354435235262,-0.05002891644835472,17.115129470825195,4.502031326293945,-57.976802825927734,-0.10262776166200638,-0.4944789409637451,-0.103817418217659,-0.0015685315114556302,0.005126076033720299,0.12151045829123948,0.0702025294303894,0.02845356985926628,0.04134606570005417,0.12183010971099649,0.0,0.0,0.0,3.454834222793579e-05,-4.632025957107544e-05,-3.6090612411499023e-05,0.005736080155254659,0.004346669905592533,-0.001680191379642148,0.0,0.0,0.0,-0.0015685315114556302,0.005126076033720299,0.12151045829123948,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,0.011658105504871633,-0.02705221110998786,-0.037516717075243546,-0.3101391028192437,0.7977054698008615,-1.2095795717312103,1,0.006338834762573242,0.0701117217540741,0.028087688609957695,0.0409710519015789,0.005736080155254659,0.004346669905592533,-0.001680191379642148,-0.0029430700796961376,0.0025098407529220916,0.0088422920580636,1,0.0008528790058335289,1.0,0.005736080155254659,0.004346669905592533,-0.001680191379642148,-0.0029430700796961376,0.0025098407529220916,0.0088422920580636,-0.0029430700796961376,0.0025098407529220916,0.0088422920580636
0.4591462640019017,1788536393.2348747,control,pre_takeoff_hold,1,1,0.013115589004883077,4.138416290283203,4138.0,0,90.0,0.4507594450042234,4.138416290283203,1,1,0,1.0148809847528855,0.07021434605121613,0.02848115935921669,0.041394855827093124,0.054041143506765366,0.06274827569723129,0.12638114392757416,80.46644592285156,92.64745330810547,193.158935546875,-0.38612374663352966,0.4443392753601074,-0.9716812968254089,-5.586270803469059e-05,0.005867848446638637,0.12029233497427994,0.0702025294303894,0.02845356985926628,0.04134606570005417,0.12183010971099649,0.0,0.0,0.0,1.1816620826721191e-05,2.7589499950408936e-05,4.879012703895569e-05,0.006951840575718958,0.0052622669091066925,-0.002703989984875514,0.0,0.0,0.0,-5.586270803469059e-05,0.005867848446638637,0.12029233497427994,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,0.001019744252480191,-0.00010878740366149626,-0.006731548840502557,1.1503163346178773,-2.2685546120991353,22.95083460396883,1,0.013713836669921875,0.07088929414749146,0.028680291026830673,0.040686313062906265,0.006951840575718958,0.0052622669091066925,-0.002703989984875514,0.0179628249785913,0.015411383426479925,-0.007200499802286148,1,0.008309253003972117,1.0,0.006951840575718958,0.0052622669091066925,-0.002703989984875514,0.0179628249785913,0.015411383426479925,-0.007200499802286148,0.0179628249785913,0.015411383426479925,-0.007200499802286148
0.5702628979997826,1788536393.3459682,control,pre_takeoff_hold,1,1,0.004498358997807372,4.138416290283203,4138.0,0,90.0,0.5618760790021042,4.138416290283203,1,1,0,1.0148809847528855,0.07021409273147583,0.028496388345956802,0.04127826169133186,0.007002195809036493,0.0072510396130383015,0.020344220101833344,5.181804656982422,5.779080867767334,15.287127494812012,0.39269596338272095,0.1259867399930954,0.006815528962761164,-0.0011718358016768236,0.004465829028996809,0.12127679468438488,0.0702025294303894,0.02845356985926628,0.04134606570005417,0.12183010971099649,0.0,0.0,0.0,1.1563301086425781e-05,4.281848669052124e-05,-6.78040087223053e-05,0.0015226844585444176,0.0015891145831907912,-0.0008754850521309985,0.0,0.0,0.0,-0.0011718358016768236,0.004465829028996809,0.12127679468438488,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,0.0071459412525486645,0.0038979820887396826,0.03714709906797328,-0.17192974813626669,-0.27904284545515784,1.8013943454333945,1,0.005156278610229492,0.07002803683280945,0.02803117409348488,0.04098237678408623,0.0015226844585444176,0.0015891145831907912,-0.0008754850521309985,-0.02043862730793877,-0.01328929179232888,0.0030814690577019442,1,0.0008090580013231374,1.0,0.0015226844585444176,0.0015891145831907912,-0.0008754850521309985,-0.02043862730793877,-0.01328929179232888,0.0030814690577019442,-0.02043862730793877,-0.01328929179232888,0.0030814690577019442
0.6814815749967238,1788536393.4571795,control,pre_takeoff_hold,1,1,0.016111703997012228,4.138416290283203,4138.0,0,90.0,0.6730947559990454,4.138416290283203,1,1,0,1.0148809847528855,0.0702049657702446,0.028467901051044464,0.041293296962976456,-0.006138009484857321,0.009222017601132393,-0.015294034034013748,-1.0705009698867798,2.3414204120635986,-2.817190170288086,-0.07959934324026108,-0.07583141326904297,0.06143752112984657,-0.001063025288136644,0.005317489249948569,0.12105046435559826,0.0702025294303894,0.02845356985926628,0.04134606570005417,0.12183010971099649,0.0,0.0,0.0,2.436339855194092e-06,1.4331191778182983e-05,-5.276873707771301e-05,0.003336909925125863,0.00204939905870705,-0.0011132541518660026,0.0,0.0,0.0,-0.001063025288136644,0.005317489249948569,0.12105046435559826,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,-0.012967154665711005,0.012904453499861862,-0.018740293973285305,-0.005143589696405806,0.19722199351005198,-0.35818978848188393,1,0.01671910285949707,0.0701042041182518,0.028058450669050217,0.04096587002277374,0.003336909925125863,0.00204939905870705,-0.0011132541518660026,0.017753240832651455,0.0017684606223925736,-0.005337396877740402,1,0.0034435659981681965,1.0,0.003336909925125863,0.00204939905870705,-0.0011132541518660026,0.017753240832651455,0.0017684606223925736,-0.005337396877740402,0.017753240832651455,0.0017684606223925736,-0.005337396877740402
0.7924680739961332,1788536393.5681565,control,pre_takeoff_hold,1,1,0.016632015998766292,4.138416290283203,4138.0,0,90.0,0.7840812549984548,4.138416290283203,1,1,0,1.0148809847528855,0.07020173966884613,0.028485160320997238,0.041303541511297226,0.002302454086020589,0.01746348850429058,-0.010173206217586994,-0.43298351764678955,5.0959954261779785,-2.3557536602020264,0.18094497919082642,-0.808429479598999,-0.10301277041435242,-0.0005922021339833032,0.001983755800040312,0.12128138963348206,0.0702025294303894,0.02845356985926628,0.04134606570005417,0.12183010971099649,0.0,0.0,0.0,-7.897615432739258e-07,3.159046173095703e-05,-4.252418875694275e-05,0.004774746518044408,0.0027922954413614354,-0.001452151230289194,0.0,0.0,0.0,-0.0005922021339833032,0.001983755800040312,0.12128138963348206,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,0.009716567585432084,5.4325430472002695e-05,-0.003845994701129533,0.740126108030594,-5.133981264917079,4.715894136861085,1,0.01698780059814453,0.0700872465968132,0.02805161103606224,0.04097819700837135,0.004774746518044408,0.0027922954413614354,-0.001452151230289194,0.0005965983214700987,0.0057731411589400285,0.005825473835414698,1,0.005492074000358116,1.0,0.004774746518044408,0.0027922954413614354,-0.001452151230289194,0.0005965983214700987,0.0057731411589400285,0.005825473835414698,0.0005965983214700987,0.0057731411589400285,0.005825473835414698
0.9035547280000173,1788536393.6791263,control,pre_takeoff_hold,1,1,0.005160170003364328,4.138416290283203,4138.0,0,90.0,0.895167909002339,4.138416290283203,1,1,0,1.0148809847528855,0.07018732279539108,0.028452787548303604,0.04134545847773552,0.007198900915682316,0.027989018708467484,-0.02316930517554283,6.381465911865234,34.960697174072266,-31.932466506958008,0.17656011879444122,0.3834589123725891,-0.5855191946029663,-0.0009458122882868266,0.004955552134183954,0.12104446484181668,0.0702025294303894,0.02845356985926628,0.04134606570005417,0.12183010971099649,0.0,0.0,0.0,-1.5206634998321533e-05,-7.82310962677002e-07,-6.07222318649292e-07,0.005264590216266601,0.003566082590607784,-0.0020134176459320236,0.0,0.0,0.0,-0.0009458122882868266,0.004955552134183954,0.12104446484181668,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,0.01185756223991876,0.00907824857623683,-0.006768333316909126,-0.09851055183264551,0.7808858776930943,-0.7005411590571146,1,0.005636692047119141,0.07006654143333435,0.0280481968075037,0.040975119918584824,0.005264590216266601,0.003566082590607784,-0.0020134176459320236,-0.002499914101393897,-0.0013344538485132668,-0.008762025821544372,1,0.0112013929974637,1.0,0.005264590216266601,0.003566082590607784,-0.0020134176459320236,-0.002499914101393897,-0.0013344538485132668,-0.008762025821544372,-0.002499914101393897,-0.0013344538485132668,-0.008762025821544372
1.014714274002472,1788536393.7903671,control,pre_takeoff_hold,1,1,0.008093876000202727,4.138416290283203,4138.0,0,90.0,1.0063274550047936,4.138416290283203,1,1,0,1.0148809847528855,0.07018594443798065,0.028439635410904884,0.04128917679190636,0.0017185304313898087,0.0013544145040214062,-0.004997890442609787,0.7732097506523132,3.003704309463501,-3.4594082832336426,0.12504233419895172,0.11406011134386063,-0.06367035210132599,-0.0007490202745858097,0.004485278657303794,0.120399327152976,0.0702025294303894,0.02845356985926628,0.04134606570005417,0.12183010971099649,0.0,0.0,0.0,-1.658499240875244e-05,-1.393444836139679e-05,-5.688890814781189e-05,0.005789464942188804,0.004930398246227683,-0.002137060711532973,0.0,0.0,0.0,-0.0007490202745858097,0.004485278657303794,0.120399327152976,0.0,0.0,0.0,0.0,0.0,0.0,zero,0.0,0.0,0.0,0.0,0.0034910100502697863,0.0010215170196257858,-0.008538896026038661,-0.06348727661573055,-0.0806524771512884,0.30968769504198024,1,0.008532047271728516,0.07013951987028122,0.028117751702666283,0.04094819352030754,0.005789464942188804,0.004930398246227683,-0.002137060711532973,0.009888926135387015,0.008213475987625684,-0.008865826935796139,1,0.00041536700155120343,1.0,0.005789464942188804,0.004930398246227683,-0.002137060711532973,0.009888926135387015,0.008213475987625684,-0.008865826935796139,0.009888926135387015,0.008213475987625684,-0.008865826935796139
